Index,population,percent_male,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_,under_18,over_16,over_18,over_21,over_62,over_65,percent_female
1,4876250,0.48,0.06,0.06,0.06,0.07,0.07,0.13,0.12,0.13,0.07,0.07,0.10,0.05,0.02,0.23,0.80,0.78,0.73,0.20,0.17,0.52
2,737068,0.52,0.07,0.07,0.07,0.06,0.07,0.16,0.13,0.12,0.07,0.06,0.08,0.03,0.01,0.25,0.78,0.75,0.71,0.15,0.11,0.48
4,7050299,0.50,0.06,0.06,0.07,0.07,0.07,0.14,0.12,0.12,0.06,0.06,0.10,0.05,0.02,0.23,0.79,0.77,0.73,0.21,0.17,0.50
5,2999370,0.49,0.06,0.07,0.07,0.07,0.07,0.13,0.12,0.12,0.07,0.06,0.10,0.05,0.02,0.24,0.79,0.77,0.72,0.20,0.17,0.51
6,39283497,0.50,0.06,0.06,0.07,0.07,0.07,0.15,0.13,0.13,0.06,0.06,0.08,0.04,0.02,0.23,0.80,0.77,0.73,0.17,0.14,0.50
8,5610349,0.50,0.06,0.06,0.06,0.06,0.07,0.16,0.14,0.13,0.07,0.06,0.09,0.04,0.02,0.23,0.80,0.78,0.74,0.17,0.14,0.50
9,3575074,0.49,0.05,0.06,0.06,0.07,0.07,0.12,0.12,0.14,0.07,0.07,0.09,0.05,0.03,0.21,0.82,0.79,0.75,0.21,0.17,0.51
10,957248,0.48,0.06,0.06,0.06,0.06,0.06,0.13,0.12,0.13,0.07,0.07,0.11,0.05,0.02,0.21,0.81,0.79,0.75,0.22,0.18,0.52
11,692683,0.47,0.07,0.05,0.04,0.05,0.08,0.23,0.15,0.11,0.05,0.05,0.07,0.04,0.02,0.18,0.84,0.82,0.77,0.15,0.12,0.53
12,20901636,0.49,0.05,0.05,0.06,0.06,0.06,0.13,0.12,0.13,0.07,0.06,0.11,0.06,0.03,0.20,0.82,0.80,0.76,0.24,0.20,0.51
13,10403847,0.49,0.06,0.07,0.07,0.07,0.07,0.14,0.13,0.14,0.06,0.06,0.08,0.04,0.01,0.24,0.79,0.76,0.72,0.17,0.14,0.51
16,1717750,0.50,0.07,0.07,0.07,0.07,0.07,0.13,0.13,0.12,0.06,0.06,0.09,0.05,0.02,0.26,0.77,0.74,0.70,0.19,0.15,0.50
17,12770631,0.49,0.06,0.06,0.07,0.07,0.07,0.14,0.13,0.13,0.07,0.06,0.09,0.05,0.02,0.23,0.80,0.77,0.73,0.19,0.15,0.51
18,6665703,0.49,0.06,0.07,0.07,0.07,0.07,0.13,0.12,0.13,0.07,0.06,0.09,0.05,0.02,0.24,0.79,0.76,0.72,0.19,0.15,0.51
19,3139508,0.50,0.06,0.07,0.07,0.07,0.07,0.13,0.12,0.12,0.07,0.07,0.09,0.05,0.03,0.23,0.79,0.77,0.72,0.21,0.17,0.50
20,2910652,0.50,0.07,0.07,0.07,0.07,0.07,0.13,0.12,0.12,0.07,0.06,0.09,0.05,0.02,0.24,0.78,0.76,0.71,0.19,0.15,0.50
21,4449052,0.49,0.06,0.06,0.07,0.07,0.07,0.13,0.12,0.13,0.07,0.06,0.10,0.05,0.02,0.23,0.80,0.77,0.73,0.20,0.16,0.51
22,4664362,0.49,0.07,0.07,0.07,0.06,0.07,0.14,0.13,0.12,0.07,0.06,0.09,0.04,0.02,0.24,0.79,0.76,0.72,0.19,0.15,0.51
23,1335492,0.49,0.05,0.05,0.05,0.06,0.06,0.12,0.11,0.14,0.08,0.08,0.12,0.06,0.03,0.19,0.83,0.81,0.77,0.25,0.20,0.51
24,6018848,0.49,0.06,0.06,0.06,0.06,0.06,0.14,0.13,0.14,0.07,0.06,0.09,0.04,0.02,0.22,0.80,0.78,0.74,0.19,0.15,0.52
25,6850553,0.49,0.05,0.05,0.06,0.07,0.07,0.14,0.12,0.14,0.07,0.07,0.09,0.05,0.02,0.20,0.82,0.80,0.76,0.20,0.16,0.52
26,9965265,0.49,0.06,0.06,0.06,0.07,0.07,0.13,0.12,0.13,0.07,0.07,0.10,0.05,0.02,0.22,0.81,0.78,0.74,0.21,0.17,0.51
27,5563378,0.50,0.06,0.07,0.07,0.06,0.06,0.14,0.13,0.13,0.07,0.06,0.09,0.05,0.02,0.23,0.79,0.77,0.73,0.19,0.15,0.50
28,2984418,0.49,0.06,0.07,0.07,0.07,0.07,0.13,0.12,0.13,0.07,0.06,0.09,0.05,0.02,0.24,0.79,0.76,0.72,0.19,0.15,0.52
29,6104910,0.49,0.06,0.06,0.06,0.07,0.07,0.13,0.12,0.13,0.07,0.07,0.10,0.05,0.02,0.23,0.80,0.77,0.73,0.20,0.17,0.51
30,1050649,0.50,0.06,0.06,0.06,0.06,0.07,0.13,0.12,0.12,0.07,0.07,0.11,0.05,0.02,0.22,0.81,0.78,0.74,0.23,0.18,0.50
31,1914571,0.50,0.07,0.07,0.07,0.07,0.07,0.13,0.12,0.12,0.07,0.06,0.09,0.05,0.02,0.25,0.78,0.75,0.71,0.19,0.15,0.50
32,2972382,0.50,0.06,0.06,0.07,0.06,0.06,0.15,0.13,0.13,0.06,0.06,0.10,0.05,0.01,0.23,0.80,0.77,0.74,0.19,0.15,0.50
33,1348124,0.50,0.05,0.05,0.06,0.07,0.07,0.12,0.12,0.15,0.08,0.07,0.11,0.05,0.02,0.19,0.83,0.81,0.77,0.22,0.18,0.51
34,8878503,0.49,0.06,0.06,0.06,0.06,0.06,0.13,0.13,0.14,0.07,0.06,0.09,0.05,0.02,0.22,0.81,0.78,0.74,0.20,0.16,0.51
35,2092454,0.50,0.06,0.07,0.07,0.07,0.07,0.14,0.12,0.12,0.07,0.07,0.10,0.05,0.02,0.23,0.79,0.77,0.73,0.21,0.17,0.51
36,19572319,0.49,0.06,0.06,0.06,0.06,0.07,0.15,0.12,0.13,0.07,0.06,0.09,0.05,0.02,0.21,0.81,0.79,0.75,0.20,0.16,0.52
37,10264876,0.49,0.06,0.06,0.07,0.07,0.07,0.13,0.13,0.13,0.07,0.06,0.10,0.05,0.02,0.22,0.80,0.78,0.73,0.20,0.16,0.51
38,756717,0.51,0.07,0.07,0.06,0.06,0.09,0.15,0.12,0.11,0.07,0.06,0.08,0.04,0.02,0.23,0.79,0.77,0.72,0.18,0.15,0.49
39,11655397,0.49,0.06,0.06,0.06,0.07,0.07,0.13,0.12,0.13,0.07,0.07,0.10,0.05,0.02,0.22,0.80,0.78,0.74,0.21,0.17,0.51
40,3932870,0.50,0.07,0.07,0.07,0.07,0.07,0.14,0.12,0.12,0.06,0.06,0.09,0.05,0.02,0.24,0.78,0.76,0.71,0.19,0.15,0.50
41,4129803,0.50,0.06,0.06,0.06,0.06,0.06,0.14,0.13,0.12,0.06,0.07,0.10,0.05,0.02,0.21,0.81,0.79,0.75,0.21,0.17,0.50
42,12791530,0.49,0.06,0.06,0.06,0.06,0.07,0.13,0.12,0.13,0.07,0.07,0.10,0.05,0.03,0.21,0.82,0.79,0.75,0.22,0.18,0.51
44,1057231,0.49,0.05,0.05,0.06,0.07,0.07,0.14,0.12,0.14,0.07,0.07,0.10,0.05,0.03,0.20,0.83,0.80,0.75,0.21,0.17,0.51
45,5020806,0.49,0.06,0.06,0.06,0.07,0.07,0.13,0.12,0.13,0.07,0.07,0.11,0.05,0.02,0.22,0.81,0.78,0.74,0.21,0.17,0.52
46,870638,0.50,0.07,0.07,0.07,0.07,0.07,0.13,0.12,0.11,0.07,0.07,0.09,0.05,0.02,0.25,0.78,0.75,0.71,0.20,0.16,0.50
47,6709356,0.49,0.06,0.06,0.06,0.06,0.07,0.14,0.13,0.13,0.07,0.06,0.10,0.05,0.02,0.22,0.80,0.78,0.74,0.20,0.16,0.51
48,28260856,0.50,0.07,0.07,0.07,0.07,0.07,0.15,0.14,0.13,0.06,0.05,0.07,0.04,0.01,0.26,0.77,0.74,0.70,0.15,0.12,0.50
49,3096848,0.50,0.08,0.09,0.08,0.08,0.08,0.15,0.14,0.10,0.05,0.05,0.07,0.03,0.01,0.30,0.73,0.70,0.66,0.14,0.11,0.50
50,624313,0.49,0.05,0.05,0.05,0.07,0.07,0.12,0.11,0.13,0.08,0.08,0.11,0.05,0.02,0.19,0.84,0.81,0.76,0.23,0.19,0.51
51,8454463,0.49,0.06,0.06,0.06,0.07,0.07,0.14,0.13,0.14,0.07,0.06,0.09,0.04,0.02,0.22,0.80,0.78,0.74,0.19,0.15,0.51
53,7404107,0.50,0.06,0.06,0.06,0.06,0.07,0.15,0.13,0.13,0.07,0.06,0.09,0.04,0.02,0.22,0.80,0.78,0.74,0.19,0.15,0.50
54,1817305,0.49,0.05,0.06,0.06,0.06,0.06,0.12,0.12,0.13,0.07,0.07,0.12,0.06,0.02,0.20,0.82,0.80,0.76,0.24,0.19,0.51
55,5790716,0.50,0.06,0.06,0.06,0.07,0.07,0.13,0.12,0.13,0.07,0.07,0.10,0.05,0.02,0.22,0.81,0.78,0.74,0.20,0.17,0.50
56,581024,0.51,0.06,0.07,0.07,0.06,0.07,0.14,0.12,0.12,0.07,0.07,0.10,0.05,0.02,0.24,0.79,0.77,0.72,0.20,0.16,0.49